batsman,total_runs,balls_faced,strike_rate,fours,sixes,player_type,bowler,balls_bowled,runs_conceded,wickets,economy,allrounder_score
F du Plessis,1295,1012,127.9644,110,38,Anchor,F du Plessis,6,16,6,16.0,14.337395280790632
RA Tripathi,391,267,146.4419,43,17,Aggressive,RA Tripathi,6,12,6,12.0,4.398960804097581
R Bhatia,342,284,120.4225,24,13,Anchor,R Bhatia,1638,2059,1661,7.5421,31.54510690473689
DL Chahar,14,6,233.3333,0,2,Aggressive,DL Chahar,72,117,77,9.75,1.4419700143563634
A Zampa,5,8,62.5,1,0,Anchor,A Zampa,221,281,225,7.629,3.8187698194464432
AB Dinda,26,48,54.1667,2,0,Anchor,AB Dinda,1530,2103,1589,8.2471,26.866636182566804
Imran Tahir,18,25,72.0,3,0,Anchor,Imran Tahir,717,1002,734,8.3849,12.476243146594681
V Shankar,101,75,134.6667,12,1,Anchor,V Shankar,6,19,6,19.0,1.2107462042734825
Rashid Khan,11,9,122.2222,0,1,Anchor,Rashid Khan,324,368,328,6.8148,5.607717155809943
B Kumar,158,157,100.6369,15,3,Anchor,B Kumar,1986,2410,2054,7.281,36.09634476222255
MP Stoinis,163,132,123.4848,14,4,Anchor,MP Stoinis,201,314,209,9.3731,5.288149041354506
MM Sharma,112,102,109.8039,8,4,Anchor,MM Sharma,1537,2088,1566,8.1509,27.427362657507313
VR Aaron,46,55,83.6364,2,2,Anchor,VR Aaron,850,1250,904,8.8235,15.627831218131096
V Kohli,4423,3405,129.8972,384,160,Anchor,V Kohli,257,371,264,8.6615,53.04196227563217
MJ McClenaghan,63,44,143.1818,2,6,Aggressive,MJ McClenaghan,934,1356,982,8.7109,17.119510765506945
Ankit Sharma,87,67,129.8507,7,4,Anchor,Ankit Sharma,361,442,369,7.3463,7.129097367568508
SN Thakur,7,9,77.7778,1,0,Anchor,SN Thakur,247,358,259,8.6964,4.409509597342116
RD Chahar,3,2,150.0,0,0,Aggressive,RD Chahar,42,59,46,8.4286,0.8024696534611075
LH Ferguson,1,1,100.0,0,0,Anchor,LH Ferguson,78,96,87,7.3846,1.4663300763014666
C de Grandhomme,126,92,136.9565,10,6,Anchor,C de Grandhomme,98,136,102,8.3265,3.091480547407336
Bipul Sharma,187,123,152.0325,11,9,Aggressive,Bipul Sharma,426,581,436,8.1831,9.349257891659626
KC Cariappa,15,18,83.3333,0,1,Anchor,KC Cariappa,206,315,211,9.1748,3.69451621645241
Sandeep Sharma,26,35,74.2857,1,0,Anchor,Sandeep Sharma,1232,1623,1273,7.9042,21.580587336798985
JD Unadkat,5,13,38.4615,0,0,Anchor,JD Unadkat,980,1328,995,8.1306,16.699331880336374
AF Milne,7,12,58.3333,0,0,Anchor,AF Milne,108,185,115,10.2778,2.0006772119289344
S Badree,13,23,56.5217,0,0,Anchor,S Badree,258,329,263,7.6512,4.542384668734053
AD Mathews,724,575,125.913,44,29,Anchor,AD Mathews,792,1095,807,8.2955,21.459040816032285
Mohammed Shami,46,45,102.2222,4,2,Anchor,Mohammed Shami,627,960,659,9.1866,11.52947056239339
Mohammad Nabi,2,3,66.6667,0,0,Anchor,Mohammad Nabi,66,59,66,5.3636,1.126035863543047
I Sharma,45,58,77.5862,3,1,Anchor,I Sharma,1652,2291,1713,8.3208,29.14979153995609
RA Jadeja,1732,1409,122.9241,125,57,Anchor,RA Jadeja,1927,2540,1962,7.9087,51.86167810261783
AJ Tye,53,30,176.6667,4,3,Aggressive,AJ Tye,126,146,128,6.9524,2.723858045315968
KS Williamson,411,318,129.2453,35,11,Anchor,KS Williamson,6,7,6,7.0,4.618837673050967
Shakib Al Hasan,500,384,130.2083,44,15,Anchor,Shakib Al Hasan,921,1123,947,7.316,21.338340258461617
JP Faulkner,527,390,135.1282,36,23,Anchor,JP Faulkner,1243,1849,1287,8.9252,27.322694941552033
MG Johnson,151,153,98.6928,8,7,Anchor,MG Johnson,1118,1522,1168,8.1682,21.198377486727207
K Rabada,55,64,85.9375,5,1,Anchor,K Rabada,130,198,137,9.1385,2.896397756299631
NM Coulter-Nile,52,50,104.0,3,4,Anchor,NM Coulter-Nile,570,739,586,7.7789,10.374289427696334
Kuldeep Yadav,20,22,90.9091,2,0,Anchor,Kuldeep Yadav,318,447,324,8.434,5.639749736133044
UT Yadav,94,90,104.4444,8,3,Anchor,UT Yadav,1955,2802,2033,8.5995,35.04145072536563
Washington Sundar,9,12,75.0,0,0,Anchor,Washington Sundar,180,189,182,6.3,3.1434410781484616
KV Sharma,317,274,115.6934,18,14,Anchor,KV Sharma,1034,1357,1046,7.8743,20.982539172509696
Anureet Singh,33,43,76.7442,2,1,Anchor,Anureet Singh,394,594,406,9.0457,7.154365920424142
IK Pathan,1150,950,121.0526,88,38,Anchor,IK Pathan,2044,2711,2113,7.9579,47.98918962022285
Ankit Soni,7,9,77.7778,0,1,Anchor,Ankit Soni,109,145,112,7.9817,1.950493203899493
JJ Bumrah,25,26,96.1538,1,1,Anchor,JJ Bumrah,1060,1433,1084,8.1113,18.408000987496518
SL Malinga,88,99,88.8889,6,5,Anchor,SL Malinga,2574,3034,2694,7.0723,46.03269743383317
PJ Sangwan,24,35,68.5714,1,0,Anchor,PJ Sangwan,796,1181,837,8.902,14.26519048295818
S Kaul,9,13,69.2308,0,0,Anchor,S Kaul,424,611,436,8.6462,7.39235375797449
LMP Simmons,1079,852,126.6432,109,44,Anchor,LMP Simmons,18,34,18,11.3333,12.163461128211827
MN Samuels,161,172,93.6047,9,7,Anchor,MN Samuels,214,285,219,7.9907,5.433441381223972
Swapnil Singh,12,20,60.0,0,0,Anchor,Swapnil Singh,60,90,61,9.0,1.152334284637338
R Tewatia,35,24,145.8333,4,1,Aggressive,R Tewatia,126,141,128,6.7143,2.5259688632579205
MM Patel,39,41,95.122,5,0,Anchor,MM Patel,1366,1733,1382,7.612,23.546859593355055
TA Boult,5,8,62.5,0,0,Anchor,TA Boult,335,500,355,8.9552,5.993410167388898
CJ Jordan,3,5,60.0,0,0,Anchor,CJ Jordan,176,276,188,9.4091,3.1778460335213286
PP Chawla,515,453,113.6865,49,15,Anchor,PP Chawla,2564,3315,2594,7.7574,49.05426831833992
AS Rajpoot,6,13,46.1538,1,0,Anchor,AS Rajpoot,175,251,184,8.6057,3.1439155531584144
SC Ganguly,1349,1263,106.8092,137,42,Anchor,SC Ganguly,277,370,280,8.0144,19.514535560320414
DJ Hussey,1322,1075,122.9767,90,60,Anchor,DJ Hussey,317,485,323,9.1798,19.937005902322
Mohammad Hafeez,64,83,77.1084,7,2,Anchor,Mohammad Hafeez,61,71,63,6.9836,1.7574701492691025
JH Kallis,2427,2222,109.2259,255,44,Anchor,JH Kallis,1751,2348,1799,8.0457,56.7757348624817
CL White,971,760,127.7632,76,38,Anchor,CL White,42,86,46,12.2857,11.444510110804996
B Akhil,76,55,138.1818,5,5,Anchor,B Akhil,189,246,193,7.8095,4.0640366185835894
AA Noffke,9,10,90.0,1,0,Anchor,AA Noffke,24,41,25,10.25,0.5171446579410345
